Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
createContactusingCSV,Chrome 109.0.0.0,,,2023-06-07 14:10:33,2023-06-07 14:12:45,2m - 12.163s,PASSED
,,,,,,,
Test Cases/Day-04/createContactUsingCSV,Chrome 109.0.0.0,,,2023-06-07 14:10:34,2023-06-07 14:10:55,20.775s,PASSED
Start listener action : login,Chrome 109.0.0.0,,,2023-06-07 14:10:34,2023-06-07 14:10:34,0.125s,PASSED
Start setup action : login,Chrome 109.0.0.0,,,2023-06-07 14:10:34,2023-06-07 14:10:40,5.695s,PASSED
"click(findTestObject(""Object Repository/Day-04/Create Contact with CSV/i_Calendar_users icon""))",Chrome 109.0.0.0,,,2023-06-07 14:10:40,2023-06-07 14:10:44,3.949s,PASSED
"click(findTestObject(""Object Repository/Day-04/Create Contact with CSV/button_Create""))",Chrome 109.0.0.0,,,2023-06-07 14:10:44,2023-06-07 14:10:45,1.279s,PASSED
"setText(findTestObject(""Object Repository/Day-04/Create Contact with CSV/input_First Name_first_name""), FirstName)",Chrome 109.0.0.0,,,2023-06-07 14:10:45,2023-06-07 14:10:47,1.560s,PASSED
"setText(findTestObject(""Object Repository/Day-04/Create Contact with CSV/input_Last Name_last_name""), LastName)",Chrome 109.0.0.0,,,2023-06-07 14:10:47,2023-06-07 14:10:48,1.009s,PASSED
"click(findTestObject(""Object Repository/Day-04/Create Contact with CSV/button_Save""))",Chrome 109.0.0.0,,,2023-06-07 14:10:48,2023-06-07 14:10:48,0.589s,PASSED
try,Chrome 109.0.0.0,,,2023-06-07 14:10:48,2023-06-07 14:10:50,2.279s,PASSED
Start tear down : logout,Chrome 109.0.0.0,,,2023-06-07 14:10:50,2023-06-07 14:10:55,4.262s,PASSED
Start listener action : logout,Chrome 109.0.0.0,,,2023-06-07 14:10:55,2023-06-07 14:10:55,0.002s,PASSED
,,,,,,,
Test Cases/Day-04/createContactUsingCSV,Chrome 109.0.0.0,,,2023-06-07 14:10:55,2023-06-07 14:11:10,15.361s,PASSED
Start listener action : login,Chrome 109.0.0.0,,,2023-06-07 14:10:55,2023-06-07 14:10:55,0.009s,PASSED
Start setup action : login,Chrome 109.0.0.0,,,2023-06-07 14:10:55,2023-06-07 14:10:58,3.221s,PASSED
