Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Task1,Chrome 109.0.0.0,,,2023-06-08 09:45:05,2023-06-08 09:45:33,27.224s,PASSED
,,,,,,,
Test Cases/Day-04/Assignment Task-1,Chrome 109.0.0.0,,,2023-06-08 09:45:07,2023-06-08 09:45:14,7.689s,PASSED
Start listener action : login,Chrome 109.0.0.0,,,2023-06-08 09:45:07,2023-06-08 09:45:07,0.123s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-06-08 09:45:07,2023-06-08 09:45:07,0.555s,PASSED
"navigateToUrl(""https://www.plus2net.com/javascript_tutorial/form-submit-demo.php"")",Chrome 109.0.0.0,,,2023-06-08 09:45:07,2023-06-08 09:45:08,0.852s,PASSED
"male_object = ""Object Repository/Day-04/Tesk1/input_MaleFemale_gender""",Chrome 109.0.0.0,,,2023-06-08 09:45:08,2023-06-08 09:45:08,0.002s,PASSED
"female_object = ""Object Repository/Day-04/Tesk1/input_MaleFemale_gender (1)""",Chrome 109.0.0.0,,,2023-06-08 09:45:08,2023-06-08 09:45:08,0.001s,PASSED
try,Chrome 109.0.0.0,,,2023-06-08 09:45:08,2023-06-08 09:45:14,5.869s,PASSED
closeBrowser(),Chrome 109.0.0.0,,,2023-06-08 09:45:14,2023-06-08 09:45:14,0.079s,PASSED
Start listener action : logout,Chrome 109.0.0.0,,,2023-06-08 09:45:14,2023-06-08 09:45:14,0.006s,PASSED
,,,,,,,
Test Cases/Day-04/Assignment Task-1,Chrome 109.0.0.0,,,2023-06-08 09:45:14,2023-06-08 09:45:19,4.907s,PASSED
Start listener action : login,Chrome 109.0.0.0,,,2023-06-08 09:45:14,2023-06-08 09:45:14,0.026s,ERROR
"openBrowser("""")",Chrome 109.0.0.0,,,2023-06-08 09:45:14,2023-06-08 09:45:15,0.383s,PASSED
"navigateToUrl(""https://www.plus2net.com/javascript_tutorial/form-submit-demo.php"")",Chrome 109.0.0.0,,,2023-06-08 09:45:15,2023-06-08 09:45:15,0.655s,PASSED
"male_object = ""Object Repository/Day-04/Tesk1/input_MaleFemale_gender""",Chrome 109.0.0.0,,,2023-06-08 09:45:15,2023-06-08 09:45:15,0.000s,PASSED
"female_object = ""Object Repository/Day-04/Tesk1/input_MaleFemale_gender (1)""",Chrome 109.0.0.0,,,2023-06-08 09:45:15,2023-06-08 09:45:15,0.001s,PASSED
try,Chrome 109.0.0.0,,,2023-06-08 09:45:15,2023-06-08 09:45:19,3.752s,PASSED
closeBrowser(),Chrome 109.0.0.0,,,2023-06-08 09:45:19,2023-06-08 09:45:19,0.073s,PASSED
Start listener action : logout,Chrome 109.0.0.0,,,2023-06-08 09:45:19,2023-06-08 09:45:19,0.001s,PASSED
,,,,,,,
Test Cases/Day-04/Assignment Task-1,Chrome 109.0.0.0,,,2023-06-08 09:45:19,2023-06-08 09:45:26,6.700s,PASSED
Start listener action : login,Chrome 109.0.0.0,,,2023-06-08 09:45:19,2023-06-08 09:45:19,0.011s,ERROR
"openBrowser("""")",Chrome 109.0.0.0,,,2023-06-08 09:45:19,2023-06-08 09:45:20,0.381s,PASSED
"navigateToUrl(""https://www.plus2net.com/javascript_tutorial/form-submit-demo.php"")",Chrome 109.0.0.0,,,2023-06-08 09:45:20,2023-06-08 09:45:20,0.664s,PASSED
"male_object = ""Object Repository/Day-04/Tesk1/input_MaleFemale_gender""",Chrome 109.0.0.0,,,2023-06-08 09:45:20,2023-06-08 09:45:20,0.001s,PASSED
"female_object = ""Object Repository/Day-04/Tesk1/input_MaleFemale_gender (1)""",Chrome 109.0.0.0,,,2023-06-08 09:45:20,2023-06-08 09:45:20,0.000s,PASSED
try,Chrome 109.0.0.0,,,2023-06-08 09:45:20,2023-06-08 09:45:26,5.562s,PASSED
closeBrowser(),Chrome 109.0.0.0,,,2023-06-08 09:45:26,2023-06-08 09:45:26,0.071s,PASSED
Start listener action : logout,Chrome 109.0.0.0,,,2023-06-08 09:45:26,2023-06-08 09:45:26,0.001s,PASSED
,,,,,,,
Test Cases/Day-04/Assignment Task-1,Chrome 109.0.0.0,,,2023-06-08 09:45:26,2023-06-08 09:45:33,6.660s,PASSED
Start listener action : login,Chrome 109.0.0.0,,,2023-06-08 09:45:26,2023-06-08 09:45:26,0.011s,ERROR
"openBrowser("""")",Chrome 109.0.0.0,,,2023-06-08 09:45:26,2023-06-08 09:45:26,0.379s,PASSED
"navigateToUrl(""https://www.plus2net.com/javascript_tutorial/form-submit-demo.php"")",Chrome 109.0.0.0,,,2023-06-08 09:45:26,2023-06-08 09:45:27,0.670s,PASSED
"male_object = ""Object Repository/Day-04/Tesk1/input_MaleFemale_gender""",Chrome 109.0.0.0,,,2023-06-08 09:45:27,2023-06-08 09:45:27,0.000s,PASSED
"female_object = ""Object Repository/Day-04/Tesk1/input_MaleFemale_gender (1)""",Chrome 109.0.0.0,,,2023-06-08 09:45:27,2023-06-08 09:45:27,0.001s,PASSED
try,Chrome 109.0.0.0,,,2023-06-08 09:45:27,2023-06-08 09:45:32,5.510s,PASSED
closeBrowser(),Chrome 109.0.0.0,,,2023-06-08 09:45:32,2023-06-08 09:45:33,0.077s,PASSED
Start listener action : logout,Chrome 109.0.0.0,,,2023-06-08 09:45:33,2023-06-08 09:45:33,0.001s,PASSED
