Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
createDeleteContact,Firefox 113.0,,,2023-06-08 14:58:25,2023-06-08 14:59:28,1m - 3.244s,PASSED
,,,,,,,
Test Cases/Day-02/Cogmento/CreateContact,Firefox 113.0,,,2023-06-08 14:58:35,2023-06-08 14:59:15,40.627s,PASSED
Start listener action : maximize,Firefox 113.0,,,2023-06-08 14:58:35,2023-06-08 14:58:35,0.300s,PASSED
navigateToUrl(URL),Firefox 113.0,,,2023-06-08 14:58:36,2023-06-08 14:58:41,5.402s,PASSED
"username_object = ""Object Repository/Day-02/Cogmento/createContact/input_Login_email""",Firefox 113.0,,,2023-06-08 14:58:41,2023-06-08 14:58:41,0.004s,PASSED
"password_object = ""Object Repository/Day-02/Cogmento/createContact/input_Login_password""",Firefox 113.0,,,2023-06-08 14:58:41,2023-06-08 14:58:41,0.025s,PASSED
"loginBtn_object = ""Object Repository/Day-02/Cogmento/createContact/div_Login""",Firefox 113.0,,,2023-06-08 14:58:41,2023-06-08 14:58:41,0.013s,PASSED
"com.LoginCogmento.Login(username_object, password_object, loginBtn_object, username, password)",Firefox 113.0,,,2023-06-08 14:58:41,2023-06-08 14:58:44,2.584s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/i_Calendar_users icon""))",Firefox 113.0,,,2023-06-08 14:58:44,2023-06-08 14:58:48,4.759s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/button_Create""))",Firefox 113.0,,,2023-06-08 14:58:48,2023-06-08 14:58:50,1.270s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_First Name_first_name""), firstName)",Firefox 113.0,,,2023-06-08 14:58:50,2023-06-08 14:58:51,1.172s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Last Name_last_name""), lastName)",Firefox 113.0,,,2023-06-08 14:58:51,2023-06-08 14:58:52,0.865s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Company_search""), company)",Firefox 113.0,,,2023-06-08 14:58:52,2023-06-08 14:58:55,2.861s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Email_value""), mailId)",Firefox 113.0,,,2023-06-08 14:58:55,2023-06-08 14:58:56,1.596s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_SelectLeadCustomerContactAffiliate""))",Firefox 113.0,,,2023-06-08 14:58:56,2023-06-08 14:58:57,0.655s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_Customer""))",Firefox 113.0,,,2023-06-08 14:58:57,2023-06-08 14:58:57,0.629s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_SelectNewActiveInactiveOn HoldTerminatedHot""))",Firefox 113.0,,,2023-06-08 14:58:57,2023-06-08 14:58:58,0.485s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_New""))",Firefox 113.0,,,2023-06-08 14:58:58,2023-06-08 14:58:59,0.615s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/textarea_deep""), firstName + "" "" + lastName)",Firefox 113.0,,,2023-06-08 14:58:59,2023-06-08 14:58:59,0.838s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/label_Do not Text""))",Firefox 113.0,,,2023-06-08 14:58:59,2023-06-08 14:59:00,0.768s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Birthday_day""), ""22"")",Firefox 113.0,,,2023-06-08 14:59:00,2023-06-08 14:59:01,0.735s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_December_year""), ""2002"")",Firefox 113.0,,,2023-06-08 14:59:01,2023-06-08 14:59:02,1.324s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_Month JanuaryFebruaryMarchAprilMayJuneJ_b508fe""))",Firefox 113.0,,,2023-06-08 14:59:02,2023-06-08 14:59:03,0.814s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/span_December""))",Firefox 113.0,,,2023-06-08 14:59:03,2023-06-08 14:59:04,1.139s,PASSED
"setText(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Image_image""), ""/home/deep/Pictures/Wallpapers/Simform_Wallpaper4.png"")",Firefox 113.0,,,2023-06-08 14:59:04,2023-06-08 14:59:05,0.605s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/input_Identifier_identifier""))",Firefox 113.0,,,2023-06-08 14:59:05,2023-06-08 14:59:05,0.509s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/button_Save""))",Firefox 113.0,,,2023-06-08 14:59:05,2023-06-08 14:59:06,0.583s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/i_Home_home icon""))",Firefox 113.0,,,2023-06-08 14:59:06,2023-06-08 14:59:08,1.801s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/a_Deep Patel""))",Firefox 113.0,,,2023-06-08 14:59:08,2023-06-08 14:59:10,1.978s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/createContact/div_Record meta data""))",Firefox 113.0,,,2023-06-08 14:59:10,2023-06-08 14:59:12,1.879s,PASSED
"verifyTextPresent(firstName + "" "" + lastName, false)",Firefox 113.0,,,2023-06-08 14:59:12,2023-06-08 14:59:13,1.085s,PASSED
"verifyTextPresent(company, false)",Firefox 113.0,,,2023-06-08 14:59:13,2023-06-08 14:59:13,0.750s,PASSED
"verifyTextPresent(mailId, false)",Firefox 113.0,,,2023-06-08 14:59:13,2023-06-08 14:59:14,0.624s,PASSED
"verifyTextPresent(firstName + "" "" + lastName, false)",Firefox 113.0,,,2023-06-08 14:59:14,2023-06-08 14:59:15,0.551s,PASSED
"verifyTextPresent(firstName + "" "" + lastName, false)",Firefox 113.0,,,2023-06-08 14:59:15,2023-06-08 14:59:15,0.689s,PASSED
Start listener action : assertmessage,Firefox 113.0,,,2023-06-08 14:59:15,2023-06-08 14:59:15,0.002s,PASSED
,,,,,,,
Test Cases/Day-02/Cogmento/deleteContact,Firefox 113.0,,,2023-06-08 14:59:15,2023-06-08 14:59:28,12.762s,PASSED
Start listener action : maximize,Firefox 113.0,,,2023-06-08 14:59:15,2023-06-08 14:59:15,0.011s,PASSED
"navigateToUrl(""https://ui.cogmento.com/"")",Firefox 113.0,,,2023-06-08 14:59:15,2023-06-08 14:59:18,2.169s,PASSED
"username_object = ""Object Repository/Day-02/Cogmento/createContact/input_Login_email""",Firefox 113.0,,,2023-06-08 14:59:18,2023-06-08 14:59:18,0.000s,PASSED
"password_object = ""Object Repository/Day-02/Cogmento/createContact/input_Login_password""",Firefox 113.0,,,2023-06-08 14:59:18,2023-06-08 14:59:18,0.000s,PASSED
"loginBtn_object = ""Object Repository/Day-02/Cogmento/createContact/div_Login""",Firefox 113.0,,,2023-06-08 14:59:18,2023-06-08 14:59:18,0.000s,PASSED
"com.LoginCogmento.Login(username_object, password_object, loginBtn_object, username, password)",Firefox 113.0,,,2023-06-08 14:59:18,2023-06-08 14:59:26,8.478s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/deleteContact/i_Calendar_users icon""))",Firefox 113.0,,,2023-06-08 14:59:26,2023-06-08 14:59:27,0.846s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/deleteContact/i_deepgmail.com_trash icon""))",Firefox 113.0,,,2023-06-08 14:59:27,2023-06-08 14:59:27,0.538s,PASSED
"click(findTestObject(""Object Repository/Day-02/Cogmento/deleteContact/button_Delete""))",Firefox 113.0,,,2023-06-08 14:59:27,2023-06-08 14:59:28,0.570s,PASSED
Start listener action : assertmessage,Firefox 113.0,,,2023-06-08 14:59:28,2023-06-08 14:59:28,0.002s,PASSED
